text,label
is my card usable anywhere?,10
what do i do since the machine swallowed my card. i need one.,18
how can i make my card active?,0
i ' d like to discuss an order i placed quite a long time ago. i have yet to receive it and am growing upset. i,52
i see a payment on my statement for a place i didn ' t make a purchase at.,16
top up not available in my wallet.,62
the machine only paid me a hundred when i wanted 20,75
cash withdrawal was incorrect at atm.,75
i need some spare physical cards.,39
will there be extra charges regarding to adding money into my international card?,57
can i change my pin without going to a bank branch?,21
why hasn ' t my top up gone through yet,47
i want to close my account & i will never do business with you again.,55
do i get to choose between visa and mastercard?,73
what are the steps for identity checks?,69
my throwaway virtual card won ' t work,72
the atm didn ' t give me enough money.,75
do i need to wait for my card before i get pin,38
i have young kids. can they use this service?,1
"i ' m waiting for a money transfer to show, still.",48
i made a cash withdraw and it shows up as pending why is that?,46
i have been charged a pound for something that appears on my statement,34
how old do you have to be to open an account?,1
how long does it take for a transfer to reach my account?,67
i attempted to withdraw some money from an atm this morning and received the wrong amount. your app says i have enough money available in the account,75
i was charged extra. was the exchange rate for my payment last saturday wrong?,17
why hasn ' t my payment shown up yet?,45
how does a virtual card work,37
can i use american express?,54
can i get money in my home currency at some atm? i ' m on holiday and am a bit concerned because i don ' t have,76
"hello, i am a college student who i recently attended my high school reunion at a local restaurant. i paid with my credit card and now",63
can you walk me through how i can edit some of my personal information?,30
i want to add money automatically when i travel.,4
what is the procedure of unblocking my pin?,49
i ' m trying to purchase a flat but i need my first payment for my mortgage to go through first. i keep getting an error.,35
do you know how i can verify that i did a top - up to my card?,71
i bought something and already paid for it but now i don ' t see it.,53
what caused my top up to be reverted?,61
how long will it take for my cash withdrawal to no longer show as pending?,46
"i want to add money to my international card, so are there any fees charged to do this?",57
why was i charged for getting cash?,19
can i exchange currencies usign this app?,33
is it possible for a person who lives in the us to get a card?,24
"more than one time this week, i have been charged more than once for the same transaction. please correct the issue and refund the duplicate",63
what fees apply when using a card?,15
how do i deal with a stolen card?,41
how long should a cheque deposit take to show? my account hasn ' t updated and i want to make sure everything is okay.,6
what are the fiat currencies used?,36
for some reason i forgot the passcode i have.,44
"i have lost my card, but need to place an online order! how do i get a virtual card instantly?",40
i have moved. where can i update my details?,30
somebody stole my wallet and is using my card! can you do something so they can ' t keep taking my money?,20
what are the reasons to be charged a fee on card payments?,15
how do i change my details?,30
someone else used my card to withdraw cash from an atm,20
i ' ve deposited a check in my account but the cash isn ' t showing as available.,6
why was there an extra charge with the withdrawal of my money?,19
i withdraw cash from the atm and was charged a fee,19
"which card would i get, visa or mastercard?",73
when will my top - up be completed?,47
"there must have been a mistake, why was i charged an extra pound?",34
can i check to see where the funds came from?,70
how long does a top - up take to go through?,47
how do i verify my top up?,71
i requested a higher amount for my cash withdrawal,75
how do the cards work?,37
does every place of business accept this card?,10
do i receive the physical card for free,43
what steps do i need to take to exchange currencies?,33
how do i query a payment on my card? it looks like i have paid for the same thing twice.,63
help me. there is a direct debit that i didn ' t make.,28
do you ship cards to where i live?,43
is using my card free?,15
how long will my payment be pending?,45
i want to transfer money from another account into this one.,65
i got mugged yesterday and can ' t use the app.,42
i ' d like to know what you guys look at to decide an exchange rate,32
recipient has not received the money,66
do i need any kind of proof for the identity check?,69
what do i do if it says my card payment has been cancelled?,53
are us credit cards accepted?,54
is there a fee for topping off a us card?,57
"in the app, i see a withdrawal i didn ' t make.",20
i topped up but it isn ' t in my account,47
"for my account, how do i transfer money in?",65
how much does it cost to us us cards?,57
"what currencies can i not hold many in, if so what are they?",36
why is there a pending time on my transfer?,48
"there are transactions that i don ' t remember making, i think someone might have gotten my card details and is now using it.",22
how did you arrive at the rate of exchange? i thought that i would get more cash.,76
the exchange rate applied is wrong for my international purchase.,17
atm only gave me $ 20 instead of $ 100,75
where are the cards delivered to,43
my cash withdrawal was short.,75
do you have an auto - top function and how do i use it if so?,4
how do i cancel a previous purchase,52
how do i go about unlocking a pin?,49
my top - up never worked,59
is my fiat currency supported for both hold and exchange?,36
what is the charge for paying with my card?,15
how many days do i have to wait for the transfer to reach my account?,67
is my credit card supported for top - ups?,54
how do i use my card if i lost my phone?,42
what can i do if i got my american express in apple bay but top up is not working?,2
i can ' t use my card because it is not working.,14
when does the rate get determined,32
why isn ' t my transfer not going through? i keep getting an error message.,7
why do you have the identity check,74
how to get new card?,23
explain top - up cancellation,61
what would i be charged in receiving a sepa transfer?,56
how can i get my google pay top up to work?,2
i think there ' s a purchase at a store that i didn ' t go to.,16
i left my phone at the hotel i was staying at so i can ' t use the app!,42
"it ' s been two weeks, why has the transaction for $ 1. 00 not been reversed?",34
i think i deserve a refunded on a certain item.,52
how do i get an actual card?,43
my passcode doesn ' t work,44
i ' m using the app and i noticed a payment that i didn ' t make.,16
i broke my card,14
i would like to top up with check,58
why can ' t i add any beneficiary i choose?,7
"there seems to be an additional charge of £1 on my statement, what is the reason for this?",34
my money transfer hasn ' t appeared yet.,48
how can i go about ordering a virtual card?,40
heyy i tried to top up with my card today but it failed! i just got the couple days before but it has worked last time,59
what does it mean if it says my card payment has been cancelled?,53
my payment did not go through because the app reverted it,53
i used foreign currency to buy something and i think the rate applied is incorrect.,17
i received my card. how do i link it to the app?,13
"i was just shopping and my payment was declined in a store! it was very embarrassing, what is going on and when will it be fixed",25
my card payment has been pending for a long time now. why is it taking so long to take. it should have already made it through,45
something is wrong with my exchange rate charge,17
whats the exchange charge,31
when will my transfer process?,5
would you be so kind as to activate my card? thanks,0
what do the disposable cards do?,37
what are the benefits of a disposable card?,37
what is a pending cash withdrawal?,46
can i change my pin at a nearby atm when in spain? i think someone saw my pin and i need to change it but am on,21
i went to do a transfer and it was declined.,27
"just received my replacement card, what steps do i need to take to activate it?",0
my payment didn ' t work and the money is in back in my account.,53
what do i have to do to get the virtual card to work?,72
can you tell me when the transfer will be completed?,48
"how do i freeze my bank card, as there has been a strange withdrawal?",20
"i bought something while traveling, and the exchange rate was wrong.",17
why is your exchange rate for my card payment wrong,17
is there supposed to be a fee for the transfer i made?,64
how do i receive more physical cards,39
i lost my password,44
how can i get a card sent to china?,9
why is the fee for taking money out so high? i feel i was overcharged and i would have never used this atm if i would,76
"if i lost my phone at the hotel, can i still use the app?",42
why did i get charged extra?,15
i submitted a transaction but it was for the incorrect account.,8
how do i order a new card before it expires?,9
what are the steps to getting a virtual card?,40
is a transfer to a beneficiary allowed?,7
i am still awaiting the completion of the transaction.,66
what currencies can i receive my salary in with this?,50
where do i pay with my debit or credit card?,10
the exchange rate was wrong?,76
i just got this card & i don ' t know how to activate it.,0
i tried my pin too many times and now my card won ' t work!,49
is there a limit to how much i can top up?,60
why can ' t i transfer money to a beneficiary,7
i shouldn ' t be charged any fee for transferring.,64
"hi i ' ve been trying to top up my card for the past day but it gets declined, i need it topped up urgently! can",59
need help with a stolen card.,41
what should i do if the passcode doesn ' t work for me?,44
can my 8 year old grandson open an account at the bank?,1
cash from this morning has not deposited,6
"my new card just arrived, how can i activate it?",0
i have a duplicate payment on my account,63
i just saw a fee on my account. when do these get charged?,15
what currencies do you accept for adding money?,54
how long will my cash withdrawal be pending for?,46
i ' ve tried numerous times to submit a transfer of funds. why isn ' t it going through?,7
the atm isn ' t giving out any money.,26
what ' s the reason for needing to verify my identity?,74
if i exchange currencies on a frequent basis can i receive a discount?,31
"i want to close an account but im not sure about setting up a new one in the future, what do you recommend",55
how do i troubleshoot when contactless doesn ' t work?,23
"extra fees on a cash withdrawal, not cool.",19
how can i choose between visa and mastercard?,73
how long does it take for a transfer to get to a recipient?,66
"i ' ve got a problem - i bought something with my card one or two weeks ago, but now exact same amount of the purchase is",53
will i be charged any fees if i want to add money with an international card?,57
my pin hasn ' t arrived in the post! how do i cancel it or get a new one?,38
"i just got a card, how can i add it to the app?",13
how do i make my transfer go through,27
where do my fund come from?,70
i made a payment but it was returned.,53
can i make transfers before identity verification?,74
how can i hold and exchange fiat currencies?,36
i didn ' t set up the direct debit i have,28
i want to close my account,55
i need to make several disposable cards per day.,29
i was charged a fee for using my card. can i check that in any way? it seems like there are occasions that i am charge,15
how can i find your exchange rates?,32
am i supposed to verify my identity?,74
which documents do i need for this identity check?,69
i bought something that i need a refund for.,52
my atm transaction was cancelled.,26
i do not know where the transaction is.,66
i attempted to top up my account but it ' s been frozen in a pending state for well over an hour now! is this normal?,47
what are eligible holding and exchange currencies?,36
i ' ve made a transfer from france two days ago but i was wondering if international transfers take longer to arrive because it hasn ' t made,5
"can i use my account now, even though my identity verification has not gone through yet?",74
why is my atm cash withdrawal not working?,26
what locations can i top up with cash?,58
my card is almost expired. how fast will i get a new one and what is the cost?,9
i think there ' s been an unauthorized cash withdrawal from my account.,20
what do i do if my card is stolen?,41
"if i see a payment in the app that i don ' t recognize, what should i do?",16
will i get a curreng foreign exchange rate?,32
can i dispute a debit payment that i am seeing that i didn ' t make from a couple of months ago?,28
why is there a charge on my account for taking out cash?,19
"your system is broken. my transfers keep failing, 5 times now.",35
how can i create many temporary cards daily?,29
how can i receive money from my friend?,50
how do i to up by card?,62
help me verify my identify?,68
how do i go about setting up an account for my daughter?,1
why do we need to verify a top - up card?,71
i ' ve been checking my statement to see if i ' ve received a refund i requested from a seller a while ago has arrived.,51
from what countries can i use an account?,24
can i use this app to exchange between dollars and pounds?,33
i transferred some money but the balance stayed the same.,5
"i tried to get money out of the notting hill atm earlier, but i wasn ' t able to get anything out. is there a",26
is there a fee for topping up a card?,57
is it possible to edit my personal details on the app?,30
will be apple watch be able to let me top up?,2
hello i have lost my phone and i ' m worried someone ' s going to steal money from me,42
why is there a payment i didn ' t do?,16
tell me how to verify a top up.,71
can you please advise if there is something wrong with my card? i have had multiple rejections and do not know the reason. thanks!,25
"someone has stolen my phone, what should i do?",42
how much time do transfers typically take? i sent money to a friend who needs it urgently. it ' s been hours and has not gone,66
why isn ' t my top - up going through?,47
"i might need aud instead of gbp, how to change?",33
how can i unlock the pin?,49
"as advised by you, i requested seller to refund my money. a week has passed but i haven ' t got any update from seller",51
can i add to my account balance with a cheque?,58
my card payment did not complete.,25
why am i charged a fee for using my card on some purchases?,15
why wasn ' t my payment to beneficiary x approved?,7
at what atm can i change my pin?,21
who should i talk to or go to resolve a duplicate charge on my statement?,63
what about a auto top - up?,4
my card is about to expire. how much does it cost to order a new one and how fast will i get it?,9
i accidentally put in the wrong pin too many times and now i need to unblock it. can you assist with this?,49
"who do i talk to, to cancel a transfer?",8
where ' s the money from my transfer from europe?,67
i have duplicated transactions on my statement,63
how can i switch on my new card?,0
what is identity check?,74
i can ' t find my card! what should i do?,41
what do i need to do to transfer money into my account?,65
card payment has be declined.,53
there is a payment showing on my app that i didn ' t do. will you please cancel this payment and refund my money?,28
what credit cards are supported?,54
there is an unauthorized payment in my statement.,16
why was my withdrawal requested cancelled by the atm?,26
do you offer auto top ups?,4
how many disposable cards is the limit?,29
someone besides me might be using my card.,22
i ' d prefer mastercard.,73
i didn ' t do a payment and i have it now.,16
what ' s taking my top - up so long?,47
is there a reason why my account isn ' t updating because i used a check to balance my account?,6
are there any reasons that my identity wouldn ' t be accepted even though everything i ' ve provided is factual?,68
what is the process to create a disposable virtual card?,37
"hearing about your verification results from us may take anywhere from 10 minutes to approximately one hour. if this verification has in fact, failed, double",68
i want to see what this fee is on my card payment.,15
"my transfer did not work, what was the reason?",35
can i have more than one disposable card?,29
my card was stolen and used to make several purchases. please freeze my card so no one can use it.,22
"i am missing some funds from my account - i tried to transfer them using my credit card number, and it disappeared.",62
i want my card i just received to show up in the app. how do i do that?,13
a transaction is showing more than once.,63
do you deal with eur?,36
how can i open an account for my children?,1
if my card payment isn ' t working what do i do?,25
how young can someone be in order to open an account?,1
where is the money i pushed it ' s on my mobile app as being withdrawn.,75
"please help me, as my topup amount has been reverted, i did it correctly. i think there is some defect in system.",61
the cash withdrawal i took seems to be off. the exchange rate is wrong.,76
"i attempted a transfer, but it failed.",35
there is a direct debit fee in the app that i didn ' t do.,28
what do i do? the atm took my card!,18
would i be charged for exchanging currencies?,31
why can ' t i see the top up i made?,62
do top - up limits exist?,60
"why did the person i transferred money to not receive the correct amount? what should i do to get them the right amount, do i have",64
what is the max amount of top - ups?,60
what do you need for the identity verification,69
are there restrictions for ordering extra cards?,39
where can i update my pin number?,21
"i made a transfer and according to the receiver "" they haven ' t received the right amount "" its lesser than it should be. now i",64
i contacted the seller for a direct refund last week but he still hasn ' t give me my money. what should i do?,51
will this card work at any atm?,3
can it be delivered by a specific date?,12
when i made a transfer i was charged extra.,64
what does my daughter need to open an account?,1
what do i do if the bank machine won ' t accept my pin attempts anymore?,49
can you look into my top up please. i made it over three hours ago and yet it ' s still pending.,47
i need some help now please! there are some transactions on my account that i do not remember purchasing. can they be reversed? can you,16
is there a reason my top - up has not gone through?,47
is there a way to transfer funds directly from my card?,62
help my activate my card.,0
can i use a transfer to receive my transfer?,50
which country ' s currency do you support?,36
are swift transfers supported?,56
do you send duplicate cards?,39
where can i withdrawal my money?,3
how long does it take for me to get my pin,38
may i choose between visa and mastercard?,73
why was i not able to get cash from the atm?,26
do i have to go somewhere to activate my card?,0
when i travel can it top up automatically,4
i have paid money into my account but it doesn ' t show.,6
"i noticed an extra $ 1 charge on my statement, can you tell me why that is?",34
please delete my account right now!,55
what currencies and cards do you support?,54
my top - up has failed.,59
what should i do with my stuck atm?,18
is eur one of the currencies you deal with?,36
the transfer to my beneficiary has not gone through,7
why is there an extra pound charge that is pending?,34
"i have a direct debit transaction i have not set up, but would like to.",28
i requested a refund directly from the seller but i still don ' t have it. i just want you to send me my money back,51
will there be a charge when money is added to my account?,56
i just have one additional card from the usa. do you support that?,54
can i get information on the identity checks?,69
how do i change the details in my account?,30
why was i charged a fee to transfer money?,64
i noticed that there is a withdrawal in the app that is not mine.,20
is my pending cash withdrawal processed?,46
i ' m checking my statements and i saw a purchase from a couple weeks ago that i don ' t recall at all. not only that,28
"needed gas, been delayed for half an hour. please fix it!",47
"hello, i noticed the money for an item i purchased online and have already received has been returned to my checking account. was there an issue",53
where are you getting your exchange rates from?,32
may i transfer a cheque into my account?,58
i am concerned that i am being doubled charged for several items purchased in the past week. please review my statement and correct.,63
my card is stuck inside the atm.,18
i ' m worried my card might be lost in the mail? how long does it usually take to arrive?,12
"i have tried everything to complete a transfer but can ' t, what should i do next",27
is my country supported,24
"the exchange rate given to me after a purchase, was incorrect",17
i ' d like to apply for a visa card.,73
my statement contained a one pound extra fee,34
i have a new phone number and need to edit my contact information.,30
where can cards be delivered?,43
i took out cash abroad and the exchange rate isn ' t correct.,76
i can ' t get my virtual card to work.,72
"help, i was charged twice!",63
do i need to set a limit on auto top - up?,4
"i ' m not happy, i want to close my account.",55
what fiat currencies are supported?,36
how can i process a refund for something i purchased?,52
my top - up hasn ' t happened yet.,47
can you tell me where to go to get a disposable virtual card?,37
can you tell me why my card is not working? i keep trying to use it but it keeps rejecting my payment. i am being careful,25
what is the greatest number of times that i can top - up?,60
i should have a refund in my statement but i can ' t see it,51
how can i access my account when i have lost my phone?,42
i forgot the code i need to get into the app.,44
can the card be mailed to europe?,24
help me to set up contactless payments.,23
why am i charged to get money from the atm?,19
please explain the fee on a transfer i made.,64
the refund i asked for isn ' t showing up,51
help me reset the passcode.,44
how much money can i top up?,60
i ' ve attempted to do a very standard transfer and have tried 5 times at this point. can you tell me what the issue is?,35
how do i fix my card if it is broken?,14
i was wondering how long does it take for a payment to go thru? it seems my last payment is stuck and hasn ' t moved.,45
can my daughter make an account?,1
i did not charge my account for that transaction. that ' s an error.,16
i wanted to top up my account and it doesn ' t look like it worked,59
please tell me why i was charged additionally when i used the card.,15
need help with my card. it ' s not working.,14
why was my payment declined? i keep trying my card but it ' s not working.,25
what kind of currencies can i use to add money?,54
my transfer says pending. what does that mean?,48
it doesn ' t let me verify my identity.,68
i think i was charged double for something i bought - how long should i wait before reporting this?,63
can you tell me why i was declined from getting cash?,26
why have i been charged more than once for the same transaction?,63
"if i am in china, can i still order a new card and if so, how?",9
do you support other currencies?,36
i don ' t see the top - up verification code anywhere,71
how can i cancel a transfer?,8
my card payment wasn ' t accepted.,25
"i needed to make a payment on my account, but i typed in the incorrect number. the app won ' t allow me to cancel this",8
"i topped up by card a while ago and it ' s still pending, surely it should be done by now?",47
could you send me and up date on the arrival of my card?,11
how to i go about getting my virtual card,40
the exchange rate for my withdrawal was wrong.,76
what does it cost to receive a sepa transfer?,56
what do i need to verify my id?,68
my card won ' t work.,14
how do i make an exchange from one currency to another?,33
there is a refund missing.,51
i was charged for using my card?,15
what do i need to bring for identification?,68
it seems i was overcharged when i used an atm while on vacation. if i knew about your fees in advance i sure would have gone,76
"i double checked that i have the correct account details already, they ' re right for sure. transfer is still pending since forever. it should",48
"if i need to cash foreign transfers, how does that work?",32
"i received a fee for obtaining cash, is this correct?",19
how long will this take to get to me?,12
i need to know why a money transfer is available.,48
how do i delete my account?,55
i found a direct debit i would like to dispute,28
i need a disposable virtual card. please tell me how to order one.,37
"i have the funds, why can i not use my top - up?",59
i do not understand what this particular direct debit is?,28
i have zero dollars in my account. can i submit additional funds via bank transfer?,65
has the check i deposited cleared to i can get the cash?,6
how do i get my card active?,0
do you support the eu?,24
why hasn ' t my transfer gone through,35
how do i add my card to the app once i get it?,13
do all businesses take this card?,10
how much would it cost me for a bank transfer to top up my account?,56
can you help me reset my password?,44
i have an unauthorized charge.,28
i wanted to purchase some crypto. the app will not let me. what ' s going on here? i really want to make this,7
who should i contact if my refund doesn ' t go through?,51
how can i top up using google pay?,2
are cards delivered to my location?,43
can i use the apple watch to make a top - up?,2
i had to pay a fee when buying items with my card.,15
i do not think the pop up went through yet.,47
i don ' t understand where this charge came from.,16
when will my transfer post to my account?,67
i recently deposited a cheque and cannot find the cash from it.,6
"i am not supposed to be charged a cash withdrawal fee, but i was.",19
why is my money not in my account. i have already sent it out.,6
i would like to cancel a transfer,8
i would like to pay by cheque.,58
why isn ' t my google pay top up working?,2
how long will it take for my transferred money to show up?,5
how do i set my physical card pin?,38
as my kids get older are they able to get set up with their own accounts?,1
i am not able to do contactless.,23
what is the expected delivery date of my card?,11
what are the steps of verifying an identity?,69
why isn ' t the transfer to my account showing up?,5
"hi, i have transferred money but beneficiary ' s account is credited with less amount. now i have transfer the difference of the",64
what is the charge to make a transfer,56
what age do my kids need to be to use your service?,1
is this card accepted by atms?,3
is my card activated?,0
i didn ' t get the correct amount of money from the atm machine,75
i did a transfer and i was charged a fee that shouldn ' t be there!,64
how do i transfer money between two of my accounts?,65
why did i get a fee for getting cash?,19
i would like to not have to do the identity verification.,74
can you tell me where to find top up by cash deposit?,58
the cash i deposited using the atm is still pending,46
i think the exchange rate is wrong for my atm withdrawal,76
is it possible to cancel my transfer?,8
what is delivery speed to the united states?,12
how many days does it take until funds are in my account?,67
what is the reason my transfer was declined?,27
what ' s the top up limit?,60
are there any extras for exchanging currency?,31
where am i able to use the card?,10
what are exchange rates,32
what is the present state of the exchange rate?,32
i need my funds verified.,70
how do i use a card to top up?,62
i was trying to make a transfer and got an error message telling me it was not possible to make the transfer. this has never happened before,7
where do i order a virtual card?,40
what does a ' pending payment ' mean?,45
how long do transfers from europe take?,67
there is a vendor name i don ' t recognize on a payment from my account. i don ' t think i made this payment.,16
if my card becomes expired what can i do?,9
what are the fees for using a european bank card?,57
"money was taken out without my consent,",20
"lost my phone, what is account security?",42
i didn ' t realize that there were any fees for withdrawing money from my account - - this has never happened to me before. what exactly,19
how many disposable cards are available per account?,29
"hey, i ' m buying a flat and i need my mortgage to go though. however, every time i check i get an error message",35
i made a transaction to the wrong account!,8
i tried to get some with - drawls but the machine didn ' t work. the transaction still seems in progress. seems like something is,46
where do my funds come from?,70
i need to add express delivery if that ' s an option,12
"about two days ago now, i made a transfer from france but it hasn ' t arrived yet. is it possible that the international transfer just",5
can i choose from either visa or mastercard?,73
"i just did a transfer, but don ' t see the money in my account. what ' s up?",67
"i must quickly transfer something from china, and i need to know how long it will take.",67
"when i look at my statement there is an extra fee, that is for what?",34
can you please refund my item?,52
i don ' t see me ' top up ' in my wallet,62
i want to return an item.,52
"can anyone help me, i lost my wallet and they ' ve started withdrawing from my account.",20
what is the point of verifying a top up?,71
i made a cash withdrawal earlier and it ' s showing as pending. what does that mean?,46
can i reactivate my card? i reported it lost and found it this morning in my jacket.,13
i ' m trying to make a bank transfer but it ' s not going through. could there not be enough funds to transfer or something?,35
do i have to verify my identity?,74
should i be seeing a fee applied for my money transfer?,64
i tried to charge my card but it was declined. a couple days ago i was able to charge it and it was accepted. is something,59
"i got less than what i asked for in the atm, why?",75
i looked on the app and it says i withdrew cash. i didn ' t!,20
"i need some money transferred asap, how long does the process take?",67
why has another fee been placed on my statement?,34
can you please check the exchange rate when i was getting cash?,76
are there any fiat currencies that you will not work with?,36
what to do if my card is about to expire?,9
i haven ' t been sent my new pin!,38
my bank transfer is still not showing up in my account.,5
i transferred some money but the receiver can ' t pick it up for some reason.,66
"someone is making transactions on my account, i think they took my card information.",22
what value can i get for my currency?,32
i have forgotten my passcode,44
can i verify my top - up card?,71
"i need to order a new virtual card, how do i do that?",40
please help me with my card. as i have tried to use my card in two different atms but repeatedly it was declining by atm.,26
why was my payment declined,25
where can i go to modify my detail?,30
why didn ' t my payment process,45
how do you fix my card payment?,25
how can i request cash back? the atm just gave me a different amount than what i ' ve been charged though...,75
what is the necessity of verifying the top up?,71
"i don ' t find your services useful anymore, how do i delete my account?",55
is there currency exchange on this app?,33
what are the currency exchange fees?,31
i cannot get virtual card to work,72
what do i do if i forgot my pin?,49
where is my missing cheque i deposited?,6
can i top up from a usa credit card,54
i made a deposit and the balance hasn ' t been updated.,6
what are the policies of disposable cards?,29
do you charge anything for topping up?,56
what is the charge for a physical card?,43
i ' m still waiting for a money transfer to show.,48
what is the process when my card is due to expire?,9
what currencies do you accept?,36
when will money be available in my account?,67
how do i setup my apple pay,2
